x1;x2;x3;x4;x5;x6;x7;x8;x9;y
240;2;180;42;16,61;74;11,7;7;18,7;18,05
245;2;180;60,1;23,19;75;12,3;8,5;20,8;16,79
255;2;180;33,6;17,9;71;17,3;19,4;36,7;31,38
495;2;120;31,1;17,06;65;9,4;5,9;15,3;13,75
117;2;120;26,2;14,59;59;10,9;4,1;15;15,55
600;2;240;49,3;18,33;70;7,7;8,5;16,2;13,02
150;2;180;30;16,46;63;10;5,5;15,5;14,34
240;2;120;53;23,56;84;27;31,3;58,3;35,52
300;2;120;29,5;15,95;61;8,5;6;14,5;12,95
0;2;180;25,3;13,88;60;8;4,5;12,5;10,3
255;2;180;32;17,3;64;9;5,5;14,5;12,65
405;2;120;44,5;20,32;75;24,5;12,8;37,3;28,96
310;2;300;41;15,06;70;5,5;4;9,5;6,34
220;2;300;58,5;18,67;76;9;6,5;15,5;11,94
430;1,94;240;42,1;17,3;69;10,2;7,3;17,5;16,55
240;1,94;180;27,1;16,29;64;11,4;7,9;19,3;19,89
0;1,94;120;30,1;12,86;63;9,8;5,4;15,2;14,05
0;1,94;60;44,5;19,52;80;17,2;14;31,2;27,74
140;1,94;60;60;21,77;74;10,2;12;22,2;17,96
0;1,94;240;35;18,12;53;10;5,6;15,6;13,44
0;1,94;180;24,6;14,78;56;10,8;5,4;16,2;16,72
390;1,94;240;42;17,26;69;10,1;7,5;17,6;16,64
300;1,93;60;26,5;15,68;60;7,5;4,3;11,8;10,56
0;1,93;120;21,6;14,05;57;13,4;7;20,4;18,85
320;1,93;180;25,2;15,62;57;8,3;5,3;13,6;14,14
230;1,93;240;36,3;19,06;70;12,3;8,4;20,7;18,4
420;1,93;120;33;15,07;64;6,5;4,8;11,3;9,02
200;1,93;120;39,6;18,83;66;11,1;6,6;17,7;14,74
185;1,93;120;34,7;15,22;67;10,3;4,5;14,8;12,35
200;1,93;180;42,3;17,61;72;14,3;9,7;24;22,49
365;1,93;180;37,1;17,65;68,5;16,4;9,4;25,8;21,84
434;1,93;420;52,1;18,68;76,5;12,3;7,6;19,9;16,41
540;1,93;240;24,4;13,59;55;6,7;3,9;10,6;8,86
720;1,93;120;33,8;18,55;69;13,1;8,3;21,4;18,99
515;1,93;170;34,2;17,45;63,5;15,4;7,2;22,6;19,68
205;1,93;120;57,8;23,15;86;20,2;12,3;32,5;27,4
0;1,93;180;26;14,48;56,5;7,2;4,5;11,7;10,05
0;1,93;240;53,5;23,78;87;21,4;27,6;49;32,64
